file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,processed_at,segment_idx,embedding_file,audio_file,utm_x,utm_y,station_name,Elevation,habitat_type,location_situation,path,basename,filename_stem,start_s,end_s,class,species_display,FinalLabelEffective,species_name_original,presence_label_original,validation_state,validation_label,validation_species,validated_by,validated_at,validation_method,user_changed,user_changed_by,user_changed_at,validation_state_effective
CCMNP-S-R5_20250427_070202,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070202.wav,CCMNP-S-R5_20250427_070202:0.000-10.000,0,10.0,present,1,0.683608115,CCMNP-S-R5,20250427_070202,2025-08-17T19:02:04,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070202.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070202.wav,CCMNP-S-R5_20250427_070202,ccmnp-s-r5_20250427_070202,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302:0.000-10.000,0,10.0,present,1,0.956651449,CCMNP-S-R5,20250427_070302,2025-08-17T19:02:04,0,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302,ccmnp-s-r5_20250427_070302,0,10.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302:10.000-20.000,10,20.0,present,1,0.858858287,CCMNP-S-R5,20250427_070302,2025-08-17T19:02:04,1,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302,ccmnp-s-r5_20250427_070302,10,20.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302:40.000-50.000,40,50.0,present,1,0.627959788,CCMNP-S-R5,20250427_070302,2025-08-17T19:02:04,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302,ccmnp-s-r5_20250427_070302,40,50.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070302,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302:50.000-58.000,50,58.0,present,1,0.999328494,CCMNP-S-R5,20250427_070302,2025-08-17T19:02:04,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070302.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070302.wav,CCMNP-S-R5_20250427_070302,ccmnp-s-r5_20250427_070302,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402:20.000-30.000,20,30.0,present,1,0.998953819,CCMNP-S-R5,20250427_070402,2025-08-17T19:02:04,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070402.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402,ccmnp-s-r5_20250427_070402,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402:40.000-50.000,40,50.0,present,1,0.78569442,CCMNP-S-R5,20250427_070402,2025-08-17T19:02:04,4,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070402.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402,ccmnp-s-r5_20250427_070402,40,50.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070402,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402:50.000-58.000,50,58.0,present,1,0.9486534,CCMNP-S-R5,20250427_070402,2025-08-17T19:02:04,5,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070402.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070402.wav,CCMNP-S-R5_20250427_070402,ccmnp-s-r5_20250427_070402,50,58.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070502.wav,CCMNP-S-R5_20250427_070502:20.000-30.000,20,30.0,present,1,0.978024125,CCMNP-S-R5,20250427_070502,2025-08-17T19:02:04,2,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070502.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070502.wav,CCMNP-S-R5_20250427_070502,ccmnp-s-r5_20250427_070502,20,30.0,1,1,present,1,present,,,,,,,0,,,
CCMNP-S-R5_20250427_070502,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070502.wav,CCMNP-S-R5_20250427_070502:30.000-40.000,30,40.0,present,1,0.949625075,CCMNP-S-R5,20250427_070502,2025-08-17T19:02:04,3,,/Users/alastairpickering/gdrive_mount/pileated_gibbon_production/audio/CCMNP-S-R5_20250427_070502.wav,,,,,,,/Users/alastairpickering/Desktop/gibbon/present_1/present/CCMNP-S-R5_20250427_070502.wav,CCMNP-S-R5_20250427_070502,ccmnp-s-r5_20250427_070502,30,40.0,1,1,present,1,present,,,,,,,0,,,
