file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,Unnamed: 0,_source_csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:39.000-42.000,39.0,42.0,present,Passer domesticus,0.8531754016876221,,,211,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:45.000-48.000,45.0,48.0,present,Passer domesticus,0.8041244745254517,,,213,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV,20240201_075500T.WAV:48.000-51.000,48.0,51.0,present,Passer domesticus,0.813237190246582,,,214,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:0.000-3.000,0.0,3.0,present,Passer domesticus,0.8637309670448303,,,216,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:3.000-6.000,3.0,6.0,present,Passer domesticus,0.9387263655662536,,,217,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:6.000-9.000,6.0,9.0,present,Passer domesticus,0.9307219386100768,,,218,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:9.000-12.000,9.0,12.0,present,Passer domesticus,0.8974710702896118,,,219,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:12.000-15.000,12.0,15.0,present,Passer domesticus,0.9806354641914368,,,220,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:21.000-24.000,21.0,24.0,present,Passer domesticus,0.8951942324638367,,,224,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:42.000-45.000,42.0,45.0,present,Passer domesticus,0.9444820284843444,,,227,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV,20240201_075600T.WAV:48.000-51.000,48.0,51.0,present,Passer domesticus,0.8140443563461304,,,228,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075700T.WAV,20240201_075700T.WAV:0.000-3.000,0.0,3.0,present,Passer domesticus,0.7904455661773682,,,230,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075700T.WAV,20240201_075700T.WAV:3.000-6.000,3.0,6.0,present,Passer domesticus,0.938229203224182,,,231,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
20240201_075700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075700T.WAV,20240201_075700T.WAV:6.000-9.000,6.0,9.0,present,Passer domesticus,0.7536717653274536,,,232,/Users/alastairpickering/Desktop/birdnet/predictions/birdnet_raw_detections_index_final.csv
